,associated,name,code,level,desc,imgs,page,includes,img_1,img_2
0,Associated Masterformat Sections: 01 82 13 ,Foundations,A10 / 21-01 10 / Ss 20 05 15,100,See Fundamental LOD Definitions,,20,,,
1,Associated Masterformat Sections: 01 82 13 ,Foundations,A10 / 21-01 10 / Ss 20 05 15,200,"Inclusions
● Element envelope",,20,,,
2,Associated Masterformat Sections: 01 82 13 ,Standard Foundations,A1010 / 21-01 10 10 / Ss 20 05,100,See A10,,20,"Includes: Formwork, concrete, unit masonry and reinforcement. Includes Standard Foundation Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",,
3,Associated Masterformat Sections: 01 82 13 ,Standard Foundations,A1010 / 21-01 10 10 / Ss 20 05,200,See A10,,20,"Includes: Formwork, concrete, unit masonry and reinforcement. Includes Standard Foundation Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",,
4,Associated Masterformat Sections: 01 82 13 ,Standard Foundations,A1010 / 21-01 10 10 / Ss 20 05,300,"Inclusions
● Openings with any dimension
greater than 6” (15 cm) or as
noted
● Surface slopes",,20,"Includes: Formwork, concrete, unit masonry and reinforcement. Includes Standard Foundation Supplementary Components as appropriate. May Include: Related Activities: Excavation, dewatering, excavation support systems, backfill and compaction, and soil treatment. ",,
5,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 06 14 00 ,Wall Foundations,A1010.10 / 21-01 10 10 10 / Ss 20 05 15,100,See A10,,20,,,
6,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 06 14 00 ,Wall Foundations,A1010.10 / 21-01 10 10 10 / Ss 20 05 15,200,See A10.,547,21,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/547.png,
7,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 06 14 00 ,Wall Foundations,A1010.10 / 21-01 10 10 10 / Ss 20 05 15,300,"Inclusions
● Openings with any dimension
greater than 6” (15 cm) or as
noted
● Surface slopes","548, 549",21,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/548.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/549.png
8,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 06 14 00 ,Wall Foundations,A1010.10 / 21-01 10 10 10 / Ss 20 05 15,350,"Inclusions
● All penetrations, modeled at
rough opening dimensions
● Expansion joints
● Chamfer
● Dowels
● Embeds
● Lintels
● Keyways","550, 551",21,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/550.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/551.png
9,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 06 14 00 ,Wall Foundations,A1010.10 / 21-01 10 10 10 / Ss 20 05 15,400,"Inclusions
● Rebar including hooks and lap
splices
● Post-tensioning tendons
● Coursing for unit masonry
● Pour Joints",,21,,,
